timeElapsed,angle,buzzerOn
111044.0,-0.7,0
111331.0,-1.35,0
111619.0,-3.37,0
111906.0,-2.02,0
112194.0,-1.33,0
112481.0,-1.38,0
112769.0,-0.67,0
113057.0,-0.67,0
113345.0,-2.76,0
113632.0,-2.69,0
113920.0,-2.02,0
114208.0,-2.02,0
114496.0,-1.95,0
114782.0,-1.33,0
115070.0,-1.36,0
115358.0,-2.66,0
115646.0,-2.07,0
115933.0,-0.67,0
116221.0,-2.69,0
116509.0,-2.66,0
116797.0,-2.0,0
117084.0,-2.0,0
117371.0,-1.3,0
117659.0,-3.33,0
117946.0,-2.02,0
118234.0,-2.66,0
118522.0,-1.33,0
118810.0,-4.76,0
119097.0,-2.05,0
119385.0,-1.33,0
119672.0,-0.69,0
119960.0,-2.69,0
120247.0,-1.33,0
120535.0,-1.36,0
120823.0,-3.33,0
121111.0,-3.37,0
121398.0,-1.33,0
121686.0,-1.33,0
121974.0,-0.67,0
122261.0,-3.37,0
122548.0,-3.29,0
122836.0,-1.38,0
123124.0,-1.32,0
123412.0,-1.33,0
123699.0,-1.32,0
123987.0,-2.07,0
124275.0,-1.38,0
124563.0,-1.33,0
124850.0,-1.97,0
125138.0,-1.33,0
125425.0,-0.66,0
125712.0,-1.33,0
126000.0,-0.67,0
126288.0,-0.66,0
126576.0,-1.38,0
126863.0,-5.19,0
127151.0,-1.35,0
127439.0,-2.0,0
127726.0,-3.33,0
128013.0,-1.35,0
128301.0,-3.37,0
128589.0,-1.32,0
128877.0,-2.0,0
129164.0,-2.07,0
129452.0,-2.66,0
129740.0,-1.32,0
130028.0,-1.35,0
130315.0,-0.66,0
130603.0,-2.63,0
130890.0,-1.33,0
131178.0,-0.67,0
131465.0,-2.05,0
131753.0,-2.0,0
132041.0,-1.36,0
132329.0,-2.02,0
132616.0,-1.33,0
132904.0,-1.35,0
133192.0,-2.05,0
133480.0,-2.02,0
133766.0,-1.97,0
134054.0,-1.38,0
134342.0,-1.33,0
134629.0,-1.32,0
134917.0,-2.0,0
135205.0,-2.02,0
135493.0,-1.35,0
135780.0,-1.95,0
136068.0,-1.32,0
136356.0,-1.97,0
136643.0,-0.67,0
136930.0,-2.63,0
137218.0,-2.02,0
137506.0,-2.66,0
137794.0,-0.68,0
138081.0,-2.73,0
138369.0,-3.45,0
138657.0,-1.36,0
138945.0,-3.41,0
139232.0,-1.97,0
139520.0,-2.66,0
139807.0,-2.02,0
140095.0,-2.69,0
140382.0,-1.4,0
140670.0,5.06,0
140957.0,1.97,0
141244.0,-1.97,0
141531.0,-0.78,0
141819.0,-2.16,0
142107.0,-0.67,0
142394.0,-2.02,0
142681.0,-2.76,0
142969.0,-3.37,0
143257.0,-8.75,0
143544.0,-2.52,0
143832.0,-0.7,0
144120.0,-1.36,0
144407.0,-2.66,0
144694.0,-2.05,0
144982.0,-1.35,0
145270.0,-2.66,0
145558.0,-0.67,0
145845.0,-2.05,0
146133.0,-1.35,0
146420.0,-0.67,0
146708.0,-1.35,0
146995.0,-2.69,0
147283.0,-2.69,0
147571.0,-1.32,0
147859.0,-1.97,0
148146.0,0.0,0
148433.0,-2.02,0
148721.0,-1.35,0
149008.0,-0.67,0
149295.0,-2.66,0
149583.0,-0.67,0
149871.0,-1.35,0
150158.0,-1.32,0
150446.0,-2.07,0
150734.0,0.0,0
151021.0,-3.29,0
151308.0,-1.4,0
151596.0,-0.67,0
151884.0,-2.05,0
152172.0,-2.73,0
152458.0,-0.67,0
152746.0,-2.0,0
153034.0,-1.35,0
153322.0,-2.02,0
153609.0,0.0,0
153896.0,-3.37,0
154184.0,-1.36,0
154472.0,-0.68,0
154759.0,-0.69,0
155046.0,-0.66,0
155334.0,-1.97,0
155621.0,-2.0,0
155909.0,-2.76,0
156197.0,-1.36,0
156485.0,-2.69,0
156772.0,-2.66,0
157060.0,-1.35,0
157348.0,-0.69,0
157636.0,-2.0,0
157923.0,-0.68,0
158211.0,-0.67,0
158498.0,-0.67,0
158786.0,0.0,0
159072.0,0.0,0
159359.0,-3.49,0
159647.0,-2.05,0
159935.0,-1.36,0
160222.0,-2.0,0
160510.0,-1.38,0
160798.0,-0.67,0
161085.0,-1.32,0
161372.0,-2.63,0
161660.0,-1.97,0
161948.0,-0.68,0
162236.0,-2.0,0
162523.0,-0.69,0
162811.0,-1.33,0
163099.0,-3.37,0
163386.0,-1.36,0
163674.0,-2.66,0
163962.0,-1.85,0
164250.0,-5.91,0
164537.0,-12.89,0
164826.0,-16.43,0
165114.0,-10.54,0
165403.0,2.29,0
165689.0,-1.97,0
165977.0,-2.0,0
166265.0,-1.33,0
166553.0,-2.66,0
166840.0,-1.3,0
167128.0,-2.07,0
167416.0,-0.67,0
167704.0,-0.67,0
167991.0,-1.36,0
168278.0,-3.45,0
168566.0,-0.66,0
168854.0,-0.67,0
169141.0,0.59,0
169428.0,-2.05,0
169716.0,-3.97,0
170004.0,-2.63,0
170291.0,0.0,0
170577.0,1.36,0
170864.0,0.0,0
171150.0,0.0,0
171437.0,-0.67,0
171725.0,0.0,0
172012.0,0.0,0
172298.0,-2.17,0
172585.0,0.0,0
172872.0,9.26,0
173159.0,0.0,0
173445.0,-1.32,0
173733.0,-1.32,0
174021.0,2.0,0
174307.0,2.02,0
174594.0,-0.68,0
174881.0,-1.33,0
175169.0,1.36,0
175455.0,-2.27,0
175743.0,-3.53,0
176031.0,0.0,0
176318.0,0.66,0
176603.0,-0.67,0
176891.0,-0.67,0
177179.0,0.67,0
